,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
24,DAL,"Delta Air Lines, Inc.",2016-07-14T00:00:00.000Z,TNS,1.42,1.47,3.52,EST,0,EQUITY
25,DAL,"Delta Air Lines, Inc.",2016-04-14T00:00:00.000Z,TNS,1.3,1.32,1.69,EST,0,EQUITY
26,DAL,"Delta Air Lines, Inc.",2016-01-19T00:00:00.000Z,TNS,1.19,1.18,-0.67,EST,0,EQUITY
27,DAL,"Delta Air Lines, Inc.",2015-10-14T00:00:00.000Z,TNS,1.71,1.74,1.69,EST,0,EQUITY
28,DAL,"Delta Air Lines, Inc.",2015-07-15T00:00:00.000Z,TNS,1.21,1.27,4.96,EST,0,EQUITY
29,DAL,"Delta Air Lines, Inc.",2015-04-15T00:00:00.000Z,TNS,0.44,0.45,2.04,EST,0,EQUITY
30,DAL,"Delta Air Lines, Inc.",2015-01-20T00:00:00.000Z,TNS,0.77,0.78,1.43,EST,0,EQUITY
31,DAL,"Delta Air Lines, Inc.",2014-10-16T00:00:00.000Z,TNS,1.18,1.2,2.04,EST,0,EQUITY
32,DAL,"Delta Air Lines, Inc.",2014-07-23T00:00:00.000Z,TNS,1.03,1.04,0.51,EST,0,EQUITY
33,DAL,"Delta Air Lines, Inc.",2014-04-23T00:00:00.000Z,TNS,0.29,0.33,15.11,EST,0,EQUITY
34,DAL,"Delta Air Lines, Inc.",2014-01-21T00:00:00.000Z,TNS,0.63,0.65,2.41,EST,0,EQUITY
35,DAL,"Delta Air Lines, Inc.",2013-10-22T00:00:00.000Z,TNS,1.36,1.41,3.51,EST,0,EQUITY
36,DAL,"Delta Air Lines, Inc.",2013-07-24T00:00:00.000Z,TNS,0.95,0.98,3.52,EST,0,EQUITY
37,DAL,"Delta Air Lines, Inc.",2013-04-23T00:00:00.000Z,TNS,0.06,0.1,80.34,EST,0,EQUITY
38,DAL,"Delta Air Lines, Inc.",2013-01-22T00:00:00.000Z,TNS,0.28,0.28,1.36,EST,0,EQUITY
39,DAL,"Delta Air Lines, Inc.",2012-10-24T00:00:00.000Z,TNS,0.91,0.9,-0.91,EST,0,EQUITY
40,DAL,"Delta Air Lines, Inc.",2012-07-25T00:00:00.000Z,TNS,0.68,0.69,1.47,EST,0,EQUITY
41,DAL,"Delta Air Lines, Inc.",2012-04-25T00:00:00.000Z,TNS,-0.05,-0.05,-1.44,EST,0,EQUITY
42,DAL,"Delta Air Lines, Inc.",2012-01-25T00:00:00.000Z,TNS,0.38,0.45,18.42,EST,0,EQUITY
43,DAL,"Delta Air Lines, Inc.",2011-10-25T00:00:00.000Z,TNS,0.93,0.91,-2.22,EST,0,EQUITY
44,DAL,"Delta Air Lines, Inc.",2011-07-27T00:00:00.000Z,TNS,0.44,0.43,-3.22,EST,0,EQUITY
45,DAL,"Delta Air Lines, Inc.",2011-04-26T00:00:00.000Z,TNS,-0.5,-0.38,24.43,EST,0,EQUITY
46,DAL,"Delta Air Lines, Inc.",2011-01-18T00:00:00.000Z,TNS,0.24,0.19,-19.54,EST,0,EQUITY
47,DAL,"Delta Air Lines, Inc.",2010-10-20T00:00:00.000Z,TNS,0.94,1.1,16.64,EST,0,EQUITY
48,DAL,"Delta Air Lines, Inc.",2010-07-19T00:00:00.000Z,TNS,0.64,0.65,0.83,EST,0,EQUITY
49,DAL,"Delta Air Lines, Inc.",2010-04-20T00:00:00.000Z,TNS,-0.23,-0.23,-1.47,EST,0,EQUITY
50,DAL,"Delta Air Lines, Inc.",2010-01-26T00:00:00.000Z,TNS,-0.24,-0.27,-14.23,EST,0,EQUITY
51,DAL,"Delta Air Lines, Inc.",2009-10-22T00:00:00.000Z,TNS,-0.05,0.06,226.93,EST,0,EQUITY
52,DAL,"Delta Air Lines, Inc.",2009-07-22T00:00:00.000Z,TNS,-0.29,-0.24,18.09,EST,0,EQUITY
53,DAL,"Delta Air Lines, Inc.",2009-04-21T00:00:00.000Z,TNS,-1.01,-0.84,16.63,EST,0,EQUITY
